seq,latency_ns
5359,747645
5360,737987
5361,728649
5362,719073
5363,709570
5364,701912
5365,692381
5366,682754
5367,673267
5368,666982
5369,657148
5370,647319
5371,637397
5372,627491
5373,617595
5374,607708
5375,597805
5376,587857
5377,579438
5378,569841
5379,560216
5380,550554
5381,541229
5382,531551
5383,521952
5384,513108
5385,503430
5386,493851
5387,484288
5388,474688
5389,467019
5390,457442
5391,447765
5392,438180
5393,428812
5394,419425
5395,409918
5396,400327
5397,390758
5398,381238
5399,371666
5400,362708
5401,353068
5402,345309
5403,335701
5404,326157
5405,316750
5406,307234
5407,297658
5408,288075
5409,278715
5410,269726
5411,263615
5412,253784
5413,243920
5414,234042
5415,225074
5416,215199
5417,205541
5418,195883
5419,186348
5420,176716
5421,167169
5422,159145
5423,149302
5424,139361
5425,129429
5426,119631
5427,110058
5428,102639
5429,93103
5430,83494
5431,73842
5432,64972
5433,53387
5434,45701
5435,36143
5436,26720
5437,17149
5438,1243104
5439,1243956
5440,1234871
5441,1231887
5442,1222395
5443,1212762
5444,1203342
5445,1193925
5446,1184384
5447,1174872
5448,1166145
5449,1156797
5450,1147345
5451,1137822
5452,1128200
5453,1123060
5454,1113126
5455,1099242
5456,1093365
5457,1083435
5458,1073489
5459,1063636
5460,1053789
5461,1044082
5462,1034541
5463,1024945
5464,1012588
5465,1006350
5466,997171
5467,988519
5468,978938
5469,925921
5470,925883
5471,925941
5472,925897
5473,925911
5474,920180
5475,910457
5476,900817
5477,891272
5478,881646
5479,873215
5480,864289
5481,854595
5482,845088
5483,835561
5484,825971
5485,816402
5486,806822
5487,797152
5488,787500
5489,778188
5490,768445
5491,758764
5492,751214
5493,741491
5494,731907
5495,725317
5496,715497
5497,705618
5498,695766
5499,685877
5500,675935
5501,666055
5502,656187
5503,646256
5504,636391
5505,629269
5506,619559
5507,610039
5508,600417
5509,590996
5510,581397
5511,571810
5512,562824
5513,553223
5514,543525
5515,533889
5516,524392
5517,516705
5518,507120
5519,497514
5520,487936
5521,478482
5522,468850
5523,459176
5524,449600
5525,441454
5526,431510
5527,421565
5528,411672
5529,402008
5530,394107
5531,384559
5532,375048
5533,365391
5534,355765
5535,346067
5536,336413
5537,327090
5538,320877
5539,311000
5540,301148
5541,291249
5542,281364
5543,271475
5544,262186
5545,252900
5546,243238
5547,233602
5548,223962
5549,214356
5550,204335
5551,194867
5552,185177
5553,175700
5554,166112
5555,156482
5556,148167
5557,138579
5558,129019
5559,119303
5560,110351
5561,100773
5562,91047
5563,81537
5564,71971
5565,62286
5566,51813
5567,42968
5568,32305
5569,25771
5570,16293
5571,6751
5572,1056978
5573,1047374
5574,1038059
5575,1028598
5576,1020468
5577,1010881
5578,1001048
5579,991465
5580,981874
5581,978935
5582,969410
5583,959796
5584,950204
5585,940985
5586,931391
5587,921852
5588,912325
5589,902637
5590,893363
5591,883852
5592,875004
5593,865392
5594,858267
5595,848764
5596,839176
5597,829630
5598,820071
5599,810439
5600,800824
5601,791466
5602,781899
5603,772338
5604,762686
5605,753061
5606,743427
5607,735803
5608,727010
5609,717551
5610,707890
5611,698309
5612,688670
