seq,latency_ns
5021,942156
5022,932444
5023,925602
5024,916039
5025,906657
5026,897107
5028,877511
5029,867986
5030,897393
5031,887517
5032,877647
5033,867802
5034,857858
5035,847919
5036,838038
5037,828093
5038,818153
5039,808270
5040,798330
5041,788379
5042,778487
5043,768544
5044,758602
5045,748736
5046,738784
5047,728843
5048,718899
5049,708960
5050,699021
5051,689193
5052,679257
5053,669312
5054,659424
5055,649479
5056,639537
5057,629635
5058,619691
5059,609754
5060,599853
5061,589913
5062,579971
5063,570070
5064,560124
5065,550188
5066,540293
5067,530347
5068,520410
5069,510518
5070,500570
5071,490636
5072,480726
5073,470790
5074,460848
5075,450938
5076,440998
5077,431060
5078,421122
5079,411177
5080,401233
5081,391324
5082,381381
5083,371441
5084,361541
5085,351601
5086,341670
5087,331761
5088,321823
5089,311937
5090,301998
5091,292056
5092,282114
5093,272176
5094,262232
5095,254030
5096,244139
5097,234190
5098,224251
5099,214332
5100,204392
5101,194449
5102,184564
5103,174622
5104,164680
5105,154776
5106,144834
5107,134894
5108,125024
5109,115090
5110,105145
5111,95233
5112,85380
5113,77592
5114,68214
5115,58664
5116,48999
5117,39420
5118,29921
5119,20294
5120,10714
5121,1053798
5122,1044259
5123,1034698
5124,1025050
5125,1015501
5126,1008264
5127,998623
5128,989884
5130,970324
5131,960873
5132,951290
5133,941681
5134,932125
5135,922503
5136,912932
5137,903694
5138,894100
5139,884442
5140,876903
5141,867417
5142,857864
5143,848343
5144,839511
5145,829999
5146,820448
5147,811027
5148,801454
5149,792000
5150,782469
5151,772995
5152,763505
5153,756158
5154,746539
5155,736897
5156,727401
5157,717929
5158,708261
5159,698899
5160,690086
5161,680456
5162,670886
5163,661322
5164,651898
5165,642474
5166,634764
5167,625326
5168,615848
5169,606512
5170,597088
5171,587472
5172,578093
5173,568525
5174,558965
5175,549293
5176,540565
5177,531031
5178,523316
5179,513808
5180,504270
5181,494654
5182,485151
5183,475577
5184,466053
5185,456717
5186,447046
5187,437463
5188,427883
5189,418352
5190,408794
5191,401073
5192,392301
5193,382739
5194,373157
5195,363658
5196,354122
5197,344573
5198,336446
5199,326512
5201,306629
5202,296719
5203,286993
5204,277461
5205,269839
5206,260309
5207,250679
5208,241907
5209,232424
5210,222948
5211,213357
5212,203864
5213,194296
5214,184759
5215,175160
5216,165600
5217,156245
5218,149288
5219,139803
5220,130227
5221,120660
5222,111041
5223,101500
5224,92659
5225,83082
5226,73615
5227,64014
5228,54481
5229,44912
5230,35316
5231,27736
5232,18112
5233,8894
5234,1051782
5235,1042127
5236,1032589
5237,1023278
5238,1013738
5239,1004063
5240,995225
5241,985584
5242,976119
5244,958497
5245,948966
5246,939418
5247,929844
5248,920317
5249,910886
5250,901389
5251,891816
5252,882160
5253,872651
5254,862997
5255,853445
5256,844499
5257,836903
5258,827397
5259,817813
5260,808189
5261,798699
5262,789054
5263,779541
5264,770091
5265,760636
5266,750934
5267,741398
5268,731944
5269,722460
5270,714778
5271,705294
5272,696409
5273,686953
5274,677336
5275,667834
5276,658162
5277,648661
5278,639339
5279,629740
5280,620100
5281,610729
5282,601337
5283,593457
5284,583814
5285,574303
5286,564823
5287,555292
5288,546474
5289,536851
5290,527225
5291,517662
5292,507986
5293,498407
5294,488877
5295,479292
5296,471485
5297,462191
5298,452466
5299,442879
5301,423218
5302,413565
5303,405276
5304,395356
5305,385660
5306,376081
5307,366498
5308,356907
5309,349321
5310,339829
5311,330142
