seq,latency_ns
4818,810086
4819,801109
4820,791532
4821,781874
4822,772279
4823,762805
4824,753154
4825,743485
4826,733987
4827,724299
4828,715900
4829,706385
4830,696735
4831,687099
4832,677496
4833,667974
4834,658344
4835,649580
4836,640077
4837,630406
4838,620841
4839,611256
4840,602827
4841,593274
4842,583610
4843,573972
4844,564418
4845,554713
4846,545172
4847,535589
4848,525908
4849,516390
4850,506862
4851,497845
4852,488261
4853,479961
4854,470370
4855,460648
4856,451082
4857,441427
4858,431789
4859,422153
4860,412498
4861,402784
4862,443013
4863,433491
4864,424060
4865,414689
4866,407384
4867,398462
4868,388893
4869,379335
4870,369690
4871,360140
4872,350454
4873,340937
4874,331418
4875,321818
4876,312224
4877,302670
4878,293097
4879,285299
4880,275903
4881,266480
4882,256922
4883,248114
4884,238536
4885,228936
4886,219342
4887,209698
4888,200074
4889,190494
4890,180895
4891,171418
4892,163658
4893,154198
4894,144639
4895,135120
4896,125462
4897,116264
4898,107833
4899,97945
4900,88142
4901,78555
4902,68880
4903,59349
4904,51614
4905,42134
4906,32457
4907,22943
4908,13329
4909,3779
4910,1016634
4911,1006994
4912,997530
4913,988128
4914,978511
4915,969717
4916,960191
4917,953069
4918,943625
4919,934096
4920,924562
4921,915020
4922,905502
4923,895900
4924,886312
4925,876749
4926,867070
4927,857534
4928,847912
4929,838425
4930,830600
4931,821811
4932,812235
4933,802637
4934,793167
4935,783718
4936,774236
4937,764796
4938,755260
4939,745792
4940,736297
4941,726768
4942,717230
4943,709502
4944,699868
4945,690489
4946,681026
4947,672180
4948,662671
4949,653158
4950,643561
4951,633955
4952,624454
4953,614995
4954,605386
4955,595803
4956,588011
4957,578380
4958,568815
4959,559211
4960,549557
4961,540222
4962,530559
4963,521587
4964,511996
4965,502517
4966,492976
4967,483367
4968,476458
4969,466879
4970,457374
4971,447767
4972,438199
4973,428594
4974,418943
4975,409285
4976,399776
4977,390353
4978,380819
4979,371890
4980,362298
4981,354385
4982,344803
4983,335241
4984,325530
4985,315994
4986,306329
4987,296770
4988,287158
4989,277516
4990,268037
4991,258496
4992,248933
4993,239547
4994,231799
4995,222936
4996,213440
4997,203851
4998,194297
4999,184676
5000,175078
5001,166846
5002,156950
5003,147083
5004,137148
5005,127238
5006,117665
5007,110022
5008,100433
5009,91074
5010,81460
5011,72780
5012,63193
5013,53568
5014,43981
5015,34353
5016,24667
5017,15142
5018,5621
5019,1048089
5020,1040782
5021,1031334
5022,1021747
5023,1012074
5024,1002484
5025,992981
5026,983374
5027,974487
5028,964809
5029,955275
5030,945720
5031,936149
5032,928529
5033,919035
5034,909355
5035,899793
5036,890209
5037,880636
5038,870928
5039,861394
5040,851757
5041,842372
5042,832718
5043,823751
5044,814143
5045,807791
5046,798246
5047,788624
5048,779041
5049,769445
5050,759895
5051,750291
5052,740727
5053,731104
5054,721513
5055,711854
5056,702448
5057,692870
5058,684979
5059,676048
5060,666471
5061,656846
5062,647411
5063,638005
5064,628421
5065,618885
5066,609462
5067,599850
5068,590217
5069,580689
5070,571140
5071,563449
5072,553903
5073,544582
5074,535043
5075,526162
5076,516473
5077,506942
5078,497558
5079,487837
5080,478251
5081,468737
5082,459172
5083,449553
5084,441724
5085,432096
5086,422441
5087,412904
5088,403266
5089,393932
5090,384419
5091,375485
5092,365944
5093,356339
5094,346635
5095,337112
5096,329313
5097,319766
5098,310105
5099,300548
5100,290932
5101,281299
5102,271726
5103,262103
5104,253378
5105,243464
5106,233570
5107,224673
5108,215161
5109,207324
5110,197799
5111,188228
5112,178659
5113,169032
5114,159503
5115,149991
5116,140372
5117,130823
5118,121236
5119,111697
5120,102126
5121,92676
5122,84875
5123,76328
5124,66569
5125,56906
5126,47269
5127,37610
5128,28006
5129,18423
5130,8960
5131,1051750
5132,1042385
5133,1032673
5134,1023094
5135,1015850
5136,1006236
5137,996906
5138,987365
5139,978449
5140,968797
5141,959201
5142,949646
5143,940139
5144,930586
5145,920986
5146,911366
5147,901816
5148,894095
5149,884501
5150,874935
5151,865364
5152,855833
5153,846417
5154,836775
5155,827863
5156,818327
5157,808646
5158,798945
5159,789412
5160,782684
5161,773097
5162,763550
5163,753941
5164,744351
5165,734891
5166,725339
5167,715766
5168,706314
5169,696845
5170,687288
5171,678479
5172,668864
5173,661112
5174,651600
5175,641944
5176,632423
5177,622825
5178,613265
5179,603595
5180,593955
5181,584321
5182,574650
5183,565076
5184,555446
5185,546066
5186,538239
5187,529322
5188,519814
5189,510231
5190,500655
5191,491006
5192,481485
5193,471722
5194,462177
5195,452581
5196,442873
5197,433278
5198,423718
5199,415854
5200,406251
5201,396886
5202,387279
5203,378445
5204,368811
5205,359153
5206,350851
5207,341036
5208,331240
5209,321399
5210,311559
5211,301651
5212,293674
5213,284081
5214,274568
5215,264971
5216,255421
5217,246030
5218,236475
5219,227617
5220,217989
5221,208353
5222,198752
5223,189214
5224,181294
5225,171879
5226,162199
5227,152551
5228,142994
5229,133355
5230,123728
5231,114099
5232,104456
5233,94975
5234,85422
5235,76640
5236,66963
5237,59243
5238,49706
5239,40003
5240,30490
5241,20886
5242,11368
5243,1054043
5244,1044441
5245,1035006
5246,1025463
5247,1015889
5248,1006298
5249,997029
5250,989577
5251,980680
5252,971108
5253,961378
5254,951693
5255,942156
5256,932526
5257,922985
5258,913413
5259,903843
5260,894174
5261,884646
5262,874962
5263,867075
5264,857528
5265,848038
5266,838544
5267,829685
5268,820100
5269,810464
5270,800918
5271,791315
5272,781819
5273,772354
5274,762795
5275,753299
5276,745557
5277,735884
5278,726249
5279,716694
5280,707039
5281,697619
5282,687992
5283,678999
5284,669413
5285,659758
5286,650194
5287,640653
5288,632687
5289,623166
5290,613534
5291,603875
5292,594228
5293,584712
5294,575128
5295,565513
5296,555813
5297,546402
5298,536821
5299,527976
5300,518418
5301,510544
5302,500944
5303,491291
5304,481654
5305,472040
5306,462465
5307,452839
5308,443215
5309,435246
5310,425374
5311,415408
5312,405523
5313,395592
5314,387295
5315,378489
5316,368750
5317,359180
5318,349613
5319,339973
5320,330331
5321,320753
5322,311069
5323,301498
5324,292062
5325,282410
5326,272811
5327,264877
5328,268301
5329,258499
5330,248627
5331,238653
5332,228715
5333,218861
5334,208962
5335,199009
5336,189052
5337,179175
5338,169230
5339,159257
5340,149362
5341,139383
5342,129512
5343,119564
5344,109619
5345,99711
5346,89832
5347,79887
5348,69941
5349,60010
5350,50063
5351,40152
5352,30972
5353,21522
5354,12055
5355,2454
5356,1044970
5357,1035449
5358,1025784
5359,1016177
5360,1006710
5361,997316
5362,987677
5363,978881
5364,969260
5365,961870
5366,952404
5367,942716
5368,933108
5369,923446
5370,913869
5371,904183
5372,894615
5373,884918
5374,875359
5375,865945
5376,856283
5377,846915
5378,839192
5379,830287
5380,820761
5381,811211
5382,801686
5383,792137
5384,782721
5385,773134
5386,763590
5387,754059
5388,744355
5389,734839
5390,725264
5391,717418
5392,707960
5393,698603
5394,688988
5395,680102
5396,670650
5397,660941
5398,651448
5399,642131
5400,632509
5401,623034
5402,613457
5403,603907
5404,596156
5405,586591
5406,576988
5407,567461
5408,557944
5409,548541
5410,538966
5411,531476
5412,521551
5413,511587
5414,501674
5415,491755
5416,483992
5417,474458
5418,464802
5419,455153
5420,445592
5421,436034
5422,426460
5423,416857
5424,407214
5425,397831
5426,388321
5427,379469
5428,369824
5429,362080
5430,352404
5431,342804
5432,333232
5433,323616
5434,314007
5435,304375
5436,294766
5437,285169
5438,275552
5439,265980
5440,256358
5441,246954
5442,239060
5443,230322
5444,220840
5445,211103
5446,201501
5447,191981
5448,182417
5449,172822
5450,163269
5451,153661
5452,144109
5453,134546
5454,124947
5455,117154
5456,107665
5457,98355
5458,88686
5459,79981
5460,70362
5461,60722
5462,51223
5463,41611
