seq,latency_ns
12021,391228
12022,391218
12023,391204
12024,391191
12025,391185
12026,388710
12027,384765
12028,380824
12029,376874
12030,1473900
12031,1470138
12032,1466208
12033,1462297
12034,1458352
12035,1454422
12036,1450491
12037,1446551
12038,1442601
12039,1438654
12040,1434725
12041,1430790
12042,1426836
12043,1422903
12044,1418952
12045,1415019
12046,1411077
12047,1407135
12048,1403189
12049,1399253
12050,1395295
12051,1391363
12052,1387420
12053,1383465
12054,1379531
12055,1375585
12056,1371632
12057,1367728
12058,1363782
12059,1359840
12060,1355904
12061,1351953
12062,1348010
12063,1344078
12064,1340130
12065,1336184
12066,1332235
12067,1328310
12068,1324364
12069,1320419
12070,1316476
12071,1312526
12072,1308581
12073,1304645
12074,1300691
12075,1296756
12076,1292823
12077,1288870
12078,1284932
12079,1280998
12080,1277049
12081,1273110
12082,1269175
12083,1265227
12084,1261287
12085,1257351
12086,1253396
12087,1249467
12088,1245526
12089,1241577
12090,1237633
12091,1233688
12092,1229734
12093,1227141
12094,1223188
12095,1219240
12096,1215308
12097,1211365
12098,1207418
12099,1203472
12100,1199542
12101,1195586
12102,1191637
12103,1187698
12104,1183747
12105,1179813
12106,1175877
12107,1171922
12108,1167975
12109,1164035
12110,1160086
12111,1156143
12112,1152208
12113,1148258
12114,1144309
12115,1140373
12116,1136420
12117,1132474
12118,1128537
12119,1124581
12120,1120646
12121,1116710
12122,1112752
12123,1108800
12124,1104868
12125,1100914
12126,1096978
12127,1093045
12128,1089099
12129,1085147
12130,1081220
12131,1077278
12132,1073332
12133,1069403
12134,1065450
12135,1061503
12136,1057565
12137,1053613
12138,1049677
12139,1045738
12140,1041784
12141,1037840
12142,1033898
12143,1029951
12144,1026013
12145,1022067
12146,1018120
12147,1014181
12148,1010245
12149,1006300
12150,1002346
12151,998401
12152,994466
12153,990536
12154,986609
12155,982673
12156,977470
12157,974782
12158,970834
12159,966881
12160,962954
12161,958993
12162,955043
12163,951108
12164,947151
12165,943217
12166,939274
12167,935321
12168,931386
12169,927448
12170,923486
12171,919547
12172,915608
12173,911657
12174,907727
12175,903794
12176,899849
12177,895897
12178,891965
12179,888014
12180,884075
12181,880140
12182,876196
12183,872247
12184,868315
12185,864368
12186,860420
12187,856481
12188,852533
12189,848601
12190,844669
12191,840718
12192,836771
12193,832835
12194,828885
12195,824943
12196,822280
12197,818333
12198,814380
12199,810455
12200,806499
12201,802556
12202,798619
12203,794676
12204,790733
12205,786798
12206,782850
12207,778903
12208,774963
12209,771011
12210,767065
12211,763134
12212,759186
12213,755240
12214,751296
12215,747340
12216,743413
12217,739461
12218,735516
12219,731572
12220,727639
12221,723686
12222,719738
12223,715795
12224,711856
12225,707912
12226,703971
12227,700040
12228,696086
12229,692145
12230,688205
12231,684259
12232,680316
12233,676374
12234,672433
12235,668496
12236,664542
12237,660602
12238,656659
12239,652711
12240,648769
12241,644837
12242,640881
12243,636936
12244,632993
12245,629043
12246,625104
12247,621172
12248,617217
12249,613272
12250,609334
12251,605377
12252,601442
12253,597502
12254,593553
12255,589625
12256,585682
12257,581735
12258,577786
12259,573851
12260,569902
12261,565960
12262,562016
12263,558071
12264,554128
12265,550183
12266,546221
12267,542293
12268,538345
